date,id,name,variable,value
2021-01-01T07:00:00Z,blackfeet,Blackfeet,ET,NA
2021-01-01T07:00:00Z,blackfeet,Blackfeet,PET,NA
2021-01-01T07:00:00Z,rocky-boys,Rocky Boy's,ET,NA
2021-01-01T07:00:00Z,rocky-boys,Rocky Boy's,PET,NA
2021-01-01T07:00:00Z,fort-belknap,Fort Belknap,ET,NA
2021-01-01T07:00:00Z,fort-belknap,Fort Belknap,PET,NA
2021-01-01T07:00:00Z,fort-peck,Fort Peck,ET,NA
2021-01-01T07:00:00Z,fort-peck,Fort Peck,PET,NA
2021-01-01T07:00:00Z,northern-cheyenne,Northern Cheyenne,ET,73.23887587822014
2021-01-01T07:00:00Z,northern-cheyenne,Northern Cheyenne,PET,118.86651053864168
2021-01-01T07:00:00Z,crow,Crow,ET,73.78956017067748
2021-01-01T07:00:00Z,crow,Crow,PET,121.3540784875984
2021-01-01T07:00:00Z,flathead,Flathead,ET,34.02940344597351
2021-01-01T07:00:00Z,flathead,Flathead,PET,39.41997570384657
2021-01-09T07:00:00Z,blackfeet,Blackfeet,ET,68.36361561287376
2021-01-09T07:00:00Z,blackfeet,Blackfeet,PET,100.98177193726147
2021-01-09T07:00:00Z,rocky-boys,Rocky Boy's,ET,67.50901661188597
2021-01-09T07:00:00Z,rocky-boys,Rocky Boy's,PET,112.44675535222525
2021-01-09T07:00:00Z,fort-belknap,Fort Belknap,ET,65.46835116668815
2021-01-09T07:00:00Z,fort-belknap,Fort Belknap,PET,114.31171844785356
2021-01-09T07:00:00Z,fort-peck,Fort Peck,ET,NA
2021-01-09T07:00:00Z,fort-peck,Fort Peck,PET,NA
2021-01-09T07:00:00Z,northern-cheyenne,Northern Cheyenne,ET,65.57543228583974
2021-01-09T07:00:00Z,northern-cheyenne,Northern Cheyenne,PET,120.9216696237642
2021-01-09T07:00:00Z,crow,Crow,ET,68.90223475187624
2021-01-09T07:00:00Z,crow,Crow,PET,125.30031953654434
2021-01-09T07:00:00Z,flathead,Flathead,ET,41.58643872603189
2021-01-09T07:00:00Z,flathead,Flathead,PET,49.62212857272612
2021-01-17T07:00:00Z,blackfeet,Blackfeet,ET,58.64059052258905
2021-01-17T07:00:00Z,blackfeet,Blackfeet,PET,75.36341919460273
2021-01-17T07:00:00Z,rocky-boys,Rocky Boy's,ET,63.06676941964582
2021-01-17T07:00:00Z,rocky-boys,Rocky Boy's,PET,88.82055593365092
2021-01-17T07:00:00Z,fort-belknap,Fort Belknap,ET,62.31644890790954
2021-01-17T07:00:00Z,fort-belknap,Fort Belknap,PET,93.09516459374157
2021-01-17T07:00:00Z,fort-peck,Fort Peck,ET,52.38622441240421
2021-01-17T07:00:00Z,fort-peck,Fort Peck,PET,71.17684530824391
2021-01-17T07:00:00Z,northern-cheyenne,Northern Cheyenne,ET,58.5458585049981
2021-01-17T07:00:00Z,northern-cheyenne,Northern Cheyenne,PET,97.89663816233559
2021-01-17T07:00:00Z,crow,Crow,ET,65.4077812448572
2021-01-17T07:00:00Z,crow,Crow,PET,106.89228296961265
2021-01-17T07:00:00Z,flathead,Flathead,ET,39.54166311676483
2021-01-17T07:00:00Z,flathead,Flathead,PET,47.028247425709104
2021-01-25T07:00:00Z,blackfeet,Blackfeet,ET,51.855679856247065
2021-01-25T07:00:00Z,blackfeet,Blackfeet,PET,67.64432559795391
2021-01-25T07:00:00Z,rocky-boys,Rocky Boy's,ET,58.850371014375526
2021-01-25T07:00:00Z,rocky-boys,Rocky Boy's,PET,79.08581855678437
2021-01-25T07:00:00Z,fort-belknap,Fort Belknap,ET,55.82484455062016
2021-01-25T07:00:00Z,fort-belknap,Fort Belknap,PET,80.81419473314058
2021-01-25T07:00:00Z,fort-peck,Fort Peck,ET,49.38872534195432
2021-01-25T07:00:00Z,fort-peck,Fort Peck,PET,58.3847872804494
2021-01-25T07:00:00Z,northern-cheyenne,Northern Cheyenne,ET,52.89778543410822
2021-01-25T07:00:00Z,northern-cheyenne,Northern Cheyenne,PET,139.8493052774387
2021-01-25T07:00:00Z,crow,Crow,ET,65.64496059210539
2021-01-25T07:00:00Z,crow,Crow,PET,128.09899106153446
2021-01-25T07:00:00Z,flathead,Flathead,ET,46.2521736818536
2021-01-25T07:00:00Z,flathead,Flathead,PET,58.558322802452366
2021-02-02T07:00:00Z,blackfeet,Blackfeet,ET,45.02952035742837
2021-02-02T07:00:00Z,blackfeet,Blackfeet,PET,53.073597455488944
2021-02-02T07:00:00Z,rocky-boys,Rocky Boy's,ET,50.89812176326282
2021-02-02T07:00:00Z,rocky-boys,Rocky Boy's,PET,69.28728845057859
2021-02-02T07:00:00Z,fort-belknap,Fort Belknap,ET,49.723558828850685
2021-02-02T07:00:00Z,fort-belknap,Fort Belknap,PET,76.16783267810793
2021-02-02T07:00:00Z,fort-peck,Fort Peck,ET,48.06419564069591
2021-02-02T07:00:00Z,fort-peck,Fort Peck,PET,59.88492801404953
2021-02-02T07:00:00Z,northern-cheyenne,Northern Cheyenne,ET,48.413207822976375
2021-02-02T07:00:00Z,northern-cheyenne,Northern Cheyenne,PET,85.03775515551357
2021-02-02T07:00:00Z,crow,Crow,ET,53.380230833709454
2021-02-02T07:00:00Z,crow,Crow,PET,80.6218324843639
2021-02-02T07:00:00Z,flathead,Flathead,ET,38.84753182935001
2021-02-02T07:00:00Z,flathead,Flathead,PET,42.16908644181372
2021-02-10T07:00:00Z,blackfeet,Blackfeet,ET,28.648678034421494
2021-02-10T07:00:00Z,blackfeet,Blackfeet,PET,30.83012013047283
2021-02-10T07:00:00Z,rocky-boys,Rocky Boy's,ET,34.44940782698249
2021-02-10T07:00:00Z,rocky-boys,Rocky Boy's,PET,39.609873841400606
2021-02-10T07:00:00Z,fort-belknap,Fort Belknap,ET,33.14068087873297
2021-02-10T07:00:00Z,fort-belknap,Fort Belknap,PET,41.59435232919974
2021-02-10T07:00:00Z,fort-peck,Fort Peck,ET,29.56121611571308
2021-02-10T07:00:00Z,fort-peck,Fort Peck,PET,34.83639371169184
2021-02-10T07:00:00Z,northern-cheyenne,Northern Cheyenne,ET,40.40277777777778
2021-02-10T07:00:00Z,northern-cheyenne,Northern Cheyenne,PET,44.69444444444444
2021-02-10T07:00:00Z,crow,Crow,ET,38.174352773044575
2021-02-10T07:00:00Z,crow,Crow,PET,41.12950035728027
2021-02-10T07:00:00Z,flathead,Flathead,ET,27.30768099747104
2021-02-10T07:00:00Z,flathead,Flathead,PET,30.051087623192544
2021-02-18T07:00:00Z,blackfeet,Blackfeet,ET,58.029777867112465
2021-02-18T07:00:00Z,blackfeet,Blackfeet,PET,69.18162832084008
2021-02-18T07:00:00Z,rocky-boys,Rocky Boy's,ET,72.10776689223312
2021-02-18T07:00:00Z,rocky-boys,Rocky Boy's,PET,108.66801333198666
