date,id,name,variable,value
2021-01-01T07:00:00Z,30101,Toole County,ET,NA
2021-01-01T07:00:00Z,30101,Toole County,PET,NA
2021-01-01T07:00:00Z,30007,Broadwater County,ET,55.05617802440297
2021-01-01T07:00:00Z,30007,Broadwater County,PET,63.522745955896745
2021-01-01T07:00:00Z,30069,Petroleum County,ET,69.17785872321281
2021-01-01T07:00:00Z,30069,Petroleum County,PET,124.48268439164968
2021-01-01T07:00:00Z,30017,Custer County,ET,66.10777338073424
2021-01-01T07:00:00Z,30017,Custer County,PET,86.7246305393949
2021-01-01T07:00:00Z,30049,Lewis and Clark County,ET,48.30756650790032
2021-01-01T07:00:00Z,30049,Lewis and Clark County,PET,58.36295651844113
2021-01-01T07:00:00Z,30073,Pondera County,ET,NA
2021-01-01T07:00:00Z,30073,Pondera County,PET,NA
2021-01-01T07:00:00Z,30089,Sanders County,ET,36.03440070705011
2021-01-01T07:00:00Z,30089,Sanders County,PET,42.71110981614757
2021-01-01T07:00:00Z,30075,Powder River County,ET,70.44463045761864
2021-01-01T07:00:00Z,30075,Powder River County,PET,110.11543701109217
2021-01-01T07:00:00Z,30029,Flathead County,ET,NA
2021-01-01T07:00:00Z,30029,Flathead County,PET,NA
2021-01-01T07:00:00Z,30053,Lincoln County,ET,NA
2021-01-01T07:00:00Z,30053,Lincoln County,PET,NA
2021-01-01T07:00:00Z,30001,Beaverhead County,ET,37.14897494919934
2021-01-01T07:00:00Z,30001,Beaverhead County,PET,43.08626347880033
2021-01-01T07:00:00Z,30081,Ravalli County,ET,32.37407948167589
2021-01-01T07:00:00Z,30081,Ravalli County,PET,35.398835943937044
2021-01-01T07:00:00Z,30085,Roosevelt County,ET,NA
2021-01-01T07:00:00Z,30085,Roosevelt County,PET,NA
2021-01-01T07:00:00Z,30015,Chouteau County,ET,73.81982481637583
2021-01-01T07:00:00Z,30015,Chouteau County,PET,117.6042107763167
2021-01-01T07:00:00Z,30105,Valley County,ET,68.51840960316791
2021-01-01T07:00:00Z,30105,Valley County,PET,97.35005096020717
2021-01-01T07:00:00Z,30039,Granite County,ET,34.822571593568306
2021-01-01T07:00:00Z,30039,Granite County,PET,39.84385723559519
2021-01-01T07:00:00Z,30051,Liberty County,ET,NA
2021-01-01T07:00:00Z,30051,Liberty County,PET,NA
2021-01-01T07:00:00Z,30041,Hill County,ET,NA
2021-01-01T07:00:00Z,30041,Hill County,PET,NA
2021-01-01T07:00:00Z,30099,Teton County,ET,NA
2021-01-01T07:00:00Z,30099,Teton County,PET,NA
2021-01-01T07:00:00Z,30003,Big Horn County,ET,72.58709051266084
2021-01-01T07:00:00Z,30003,Big Horn County,PET,119.62090772758957
2021-01-01T07:00:00Z,30019,Daniels County,ET,NA
2021-01-01T07:00:00Z,30019,Daniels County,PET,NA
2021-01-01T07:00:00Z,30071,Phillips County,ET,67.591435947146607
2021-01-01T07:00:00Z,30071,Phillips County,PET,110.08025203332106
2021-01-01T07:00:00Z,30035,Glacier County,ET,NA
2021-01-01T07:00:00Z,30035,Glacier County,PET,NA
2021-01-01T07:00:00Z,30055,McCone County,ET,66.13588850174216
2021-01-01T07:00:00Z,30055,McCone County,PET,86.69337979094077
2021-01-01T07:00:00Z,30043,Jefferson County,ET,49.27509884567047
2021-01-01T07:00:00Z,30043,Jefferson County,PET,61.95663824569127
2021-01-01T07:00:00Z,30097,Sweet Grass County,ET,68.46882525640267
2021-01-01T07:00:00Z,30097,Sweet Grass County,PET,90.2529443987386
2021-01-01T07:00:00Z,30057,Madison County,ET,43.74988800387141
2021-01-01T07:00:00Z,30057,Madison County,PET,49.21539977903227
2021-01-01T07:00:00Z,30009,Carbon County,ET,74.80417815768536
2021-01-01T07:00:00Z,30009,Carbon County,PET,108.14060170307364
2021-01-01T07:00:00Z,30107,Wheatland County,ET,68.90190121072848
2021-01-01T07:00:00Z,30107,Wheatland County,PET,98.33196064316225
2021-01-01T07:00:00Z,30013,Cascade County,ET,64.43404857196197
2021-01-01T07:00:00Z,30013,Cascade County,PET,86.82386305612971
2021-01-01T07:00:00Z,30045,Judith Basin County,ET,62.52736566335391
