date,id,name,variable,value
1986-01-01T07:00:00Z,30101,Toole County,AFG,8.36063471793682
1986-01-01T07:00:00Z,30101,Toole County,BGR,24.66399388870127
1986-01-01T07:00:00Z,30101,Toole County,LTR,6.284209790214327
1986-01-01T07:00:00Z,30101,Toole County,PFG,35.05239679210513
1986-01-01T07:00:00Z,30101,Toole County,SHR,6.310000271238875
1986-01-01T07:00:00Z,30101,Toole County,TRE,0.18283368062863414
1986-01-01T07:00:00Z,30007,Broadwater County,AFG,4.012863451876182
1986-01-01T07:00:00Z,30007,Broadwater County,BGR,10.113796641501366
1986-01-01T07:00:00Z,30007,Broadwater County,LTR,8.68118139599801
1986-01-01T07:00:00Z,30007,Broadwater County,PFG,36.577084085585774
1986-01-01T07:00:00Z,30007,Broadwater County,SHR,7.8829206122812705
1986-01-01T07:00:00Z,30007,Broadwater County,TRE,9.416185708712854
1986-01-01T07:00:00Z,30069,Petroleum County,AFG,9.50049456043949
1986-01-01T07:00:00Z,30069,Petroleum County,BGR,25.135607382642867
1986-01-01T07:00:00Z,30069,Petroleum County,LTR,9.166174283713529
1986-01-01T07:00:00Z,30069,Petroleum County,PFG,34.25494431184748
1986-01-01T07:00:00Z,30069,Petroleum County,SHR,7.951604562501215
1986-01-01T07:00:00Z,30069,Petroleum County,TRE,2.0117604945410186
1986-01-01T07:00:00Z,30017,Custer County,AFG,13.749960236435447
1986-01-01T07:00:00Z,30017,Custer County,BGR,22.573040469980054
1986-01-01T07:00:00Z,30017,Custer County,LTR,8.335567531472552
1986-01-01T07:00:00Z,30017,Custer County,PFG,38.38658415880984
1986-01-01T07:00:00Z,30017,Custer County,SHR,7.580932474554604
1986-01-01T07:00:00Z,30017,Custer County,TRE,1.0901002181379502
1986-01-01T07:00:00Z,30049,Lewis and Clark County,AFG,3.289493213208953
1986-01-01T07:00:00Z,30049,Lewis and Clark County,BGR,5.255285133837691
1986-01-01T07:00:00Z,30049,Lewis and Clark County,LTR,7.193833604302432
1986-01-01T07:00:00Z,30049,Lewis and Clark County,PFG,32.636450847975546
1986-01-01T07:00:00Z,30049,Lewis and Clark County,SHR,5.373648918528687
1986-01-01T07:00:00Z,30049,Lewis and Clark County,TRE,18.977347205731412
1986-01-01T07:00:00Z,30073,Pondera County,AFG,8.148778825834471
1986-01-01T07:00:00Z,30073,Pondera County,BGR,13.342199588529162
1986-01-01T07:00:00Z,30073,Pondera County,LTR,5.701419610083829
1986-01-01T07:00:00Z,30073,Pondera County,PFG,36.233233512737975
1986-01-01T07:00:00Z,30073,Pondera County,SHR,5.221658568471958
1986-01-01T07:00:00Z,30073,Pondera County,TRE,4.192800297580172
1986-01-01T07:00:00Z,30089,Sanders County,AFG,2.4793546151239956
1986-01-01T07:00:00Z,30089,Sanders County,BGR,1.998794972916821
1986-01-01T07:00:00Z,30089,Sanders County,LTR,5.665649127872007
1986-01-01T07:00:00Z,30089,Sanders County,PFG,23.889986576750683
1986-01-01T07:00:00Z,30089,Sanders County,SHR,3.5941664647892706
1986-01-01T07:00:00Z,30089,Sanders County,TRE,36.64580733269826
1986-01-01T07:00:00Z,30075,Powder River County,AFG,18.55287682385876
1986-01-01T07:00:00Z,30075,Powder River County,BGR,13.530432700747575
1986-01-01T07:00:00Z,30075,Powder River County,LTR,9.213955955013576
1986-01-01T07:00:00Z,30075,Powder River County,PFG,41.76954055947371
1986-01-01T07:00:00Z,30075,Powder River County,SHR,6.762870895050007
1986-01-01T07:00:00Z,30075,Powder River County,TRE,2.853819405408883
1986-01-01T07:00:00Z,30029,Flathead County,AFG,1.249277961627974
1986-01-01T07:00:00Z,30029,Flathead County,BGR,1.295951989772144
1986-01-01T07:00:00Z,30029,Flathead County,LTR,3.7376533288619913
1986-01-01T07:00:00Z,30029,Flathead County,PFG,20.410416061577454
1986-01-01T07:00:00Z,30029,Flathead County,SHR,3.1477455922754505
1986-01-01T07:00:00Z,30029,Flathead County,TRE,34.00130702705741
1986-01-01T07:00:00Z,30053,Lincoln County,AFG,1.170573682565997
1986-01-01T07:00:00Z,30053,Lincoln County,BGR,0.7114551620984814
1986-01-01T07:00:00Z,30053,Lincoln County,LTR,3.9972655705568827
1986-01-01T07:00:00Z,30053,Lincoln County,PFG,18.695067482179752
1986-01-01T07:00:00Z,30053,Lincoln County,SHR,3.4025460318519767
1986-01-01T07:00:00Z,30053,Lincoln County,TRE,41.169824818757135
1986-01-01T07:00:00Z,30001,Beaverhead County,AFG,2.7817315125939115
1986-01-01T07:00:00Z,30001,Beaverhead County,BGR,6.9667350157026116
1986-01-01T07:00:00Z,30001,Beaverhead County,LTR,8.450167531679774
1986-01-01T07:00:00Z,30001,Beaverhead County,PFG,41.099159931062864
1986-01-01T07:00:00Z,30001,Beaverhead County,SHR,10.430536236234632
1986-01-01T07:00:00Z,30001,Beaverhead County,TRE,13.734670599328522
1986-01-01T07:00:00Z,30081,Ravalli County,AFG,2.368397545458962
1986-01-01T07:00:00Z,30081,Ravalli County,BGR,3.474269537799756
1986-01-01T07:00:00Z,30081,Ravalli County,LTR,6.523682125633379
